user_id,organic,organic_produce
1,6,2
2,28,9
3,8,5
4,2,2
5,12,7
6,6,4
7,27,11
8,15,8
9,17,4
10,33,20
11,12,2
12,14,8
13,4,2
14,5,4
15,0,0
16,24,16
17,1,0
18,11,8
19,1,0
20,0,0
21,10,5
22,20,9
23,0,0
24,4,2
25,5,1
26,10,1
27,49,15
28,35,18
29,0,0
30,0,0
31,13,2
32,35,14
33,3,1
34,11,5
35,24,15
36,12,5
37,48,26
38,22,5
39,29,13
40,9,2
41,12,9
42,8,2
43,3,3
44,5,1
45,0,0
46,10,2
47,3,0
48,20,12
49,9,6
50,46,30
51,9,4
52,12,5
53,4,3
54,67,27
55,12,4
56,15,4
57,5,4
58,1,1
59,24,12
60,15,6
61,2,1
62,23,10
63,85,23
64,19,10
65,32,13
66,1,1
67,6,2
68,33,13
69,6,3
70,3,2
71,39,17
72,6,2
73,1,1
74,27,13
75,30,18
76,1,0
77,47,18
78,5,1
79,23,11
80,9,5
81,3,3
82,6,3
83,7,1
84,17,11
85,10,9
86,78,54
87,9,4
88,2,0
89,40,17
90,8,0
91,35,14
92,7,3
93,0,0
94,1,0
95,29,12
96,28,5
97,3,0
98,8,3
99,57,18
100,6,4
101,37,18
102,13,11
103,24,10
104,3,0
105,0,0
106,2,2
107,1,0
108,19,10
109,0,0
110,69,32
111,10,5
112,24,13
113,0,0
114,22,16
115,29,11
116,1,0
117,2,0
118,23,10
119,7,2
120,0,0
121,9,6
122,4,3
123,10,2
124,7,6
125,2,1
126,21,13
127,1,1
128,28,13
129,11,6
130,10,6
131,5,2
132,16,5
133,2,2
134,3,1
135,5,4
136,13,8
137,0,0
138,11,4
139,0,0
140,131,42
141,13,5
142,33,17
143,27,11
144,3,0
145,11,5
146,13,9
147,1,1
148,38,7
149,33,20
150,14,2
151,56,26
152,59,10
153,34,19
154,15,4
155,23,14
156,0,0
157,18,7
158,5,1
159,20,8
160,8,5
161,65,31
162,16,3
163,17,10
164,17,4
165,29,11
166,7,4
167,0,0
168,23,5
169,22,9
170,0,0
171,2,0
172,3,1
173,81,24
174,35,13
175,39,16
176,4,3
177,8,5
178,15,7
179,11,7
180,49,25
181,10,3
182,23,8
183,10,5
184,24,3
185,2,0
186,8,5
187,5,1
188,2,1
189,17,5
190,28,15
191,4,1
192,6,2
193,13,8
194,11,4
195,5,3
196,1,1
197,56,24
198,11,8
199,7,5
200,22,13
201,16,8
202,64,24
203,0,0
204,96,49
205,7,4
206,42,16
207,8,3
208,14,11
209,16,1
210,82,39
211,1,1
212,3,1
213,9,8
214,91,43
215,1,1
216,14,8
217,16,7
218,0,0
219,17,5
220,30,18
221,23,15
222,2,2
223,61,28
224,8,5
225,2,0
226,0,0
227,126,43
228,12,5
229,14,3
230,7,1
231,18,13
232,49,26
233,41,16
234,56,17
235,6,3
236,64,19
237,7,1
238,1,0
239,14,5
240,1,0
241,6,6
242,1,1
243,44,24
244,9,4
245,16,7
246,5,0
247,1,0
248,51,30
249,6,6
250,9,0
251,0,0
252,1,1
253,8,2
254,1,0
255,27,18
256,8,6
257,26,10
258,26,2
259,6,5
260,4,2
261,0,0
262,20,8
263,8,0
264,62,25
265,9,5
266,12,6
267,4,4
268,3,0
269,13,7
270,8,5
271,0,0
272,3,1
273,13,8
274,2,1
275,47,17
276,7,4
277,7,6
278,20,4
279,23,12
280,59,20
281,34,22
282,4,0
283,3,0
284,50,15
285,7,4
286,2,0
287,0,0
288,11,5
289,66,33
290,5,3
291,2,2
292,5,3
293,27,12
294,25,16
295,20,15
296,9,6
297,12,5
298,4,3
299,21,9
300,49,23
301,3,1
302,20,6
303,1,1
304,23,2
305,13,4
306,9,6
307,18,3
308,5,3
309,75,34
310,0,0
311,9,7
312,3,0
313,74,38
314,0,0
