,product_id,product_name,aisle_id,department_id,organic,aisle,department,organic_produce
0,1,Chocolate Sandwich Cookies,61,19,0,cookies cakes,snacks,0
1,78,Nutter Butter Cookie Bites Go-Pak,61,19,0,cookies cakes,snacks,0
2,102,Danish Butter Cookies,61,19,0,cookies cakes,snacks,0
3,172,Gluten Free All Natural Chocolate Chip Cookies,61,19,0,cookies cakes,snacks,0
4,285,Mini Nilla Wafers Munch Pack,61,19,0,cookies cakes,snacks,0
5,331,Organic Lemon Gingersnap,61,19,1,cookies cakes,snacks,0
6,449,Chips Ahoy! Chewy Cookies,61,19,0,cookies cakes,snacks,0
7,559,Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies,61,19,0,cookies cakes,snacks,0
8,569,Golden Cupcakes 8 Pack,61,19,0,cookies cakes,snacks,0
9,574,Crunch Vanilla Sugar Mini Cookies,61,19,0,cookies cakes,snacks,0
10,576,Vanilla Sugar Cookies,61,19,0,cookies cakes,snacks,0
11,622,Fudge Brownies with English Walnuts,61,19,0,cookies cakes,snacks,0
12,627,Low Fat Honey Graham Crackers,61,19,0,cookies cakes,snacks,0
13,635,Little Bites Snickerdoodle Muffins,61,19,0,cookies cakes,snacks,0
14,658,Keebler Sandies Cashew 12.8 Oz,61,19,0,cookies cakes,snacks,0
15,733,Cinnamon Pop'ettes,61,19,0,cookies cakes,snacks,0
16,796,Chocolate Reese's Peanut Butter Cup Creme Oreo,61,19,0,cookies cakes,snacks,0
17,1058,Pure Butter Shortbread Scottie Dogs,61,19,0,cookies cakes,snacks,0
18,1129,Organic Family Recipe Chocolate Chip Cookies,61,19,1,cookies cakes,snacks,0
19,1209,Pecan Sandies Simply Sandies,61,19,0,cookies cakes,snacks,0
20,1256,Mini Strawberry Donuts,61,19,0,cookies cakes,snacks,0
21,1419,Spring Vanilla Cup Cake,61,19,0,cookies cakes,snacks,0
22,1473,Soft Frosty Lemon Cookies,61,19,0,cookies cakes,snacks,0
23,1547,Cookie Bites Chocolate Chip Cookies,61,19,0,cookies cakes,snacks,0
24,1608,Disney Frozen Graham Crackers,61,19,0,cookies cakes,snacks,0
25,1610,S'mores Soft Baked Bars,61,19,0,cookies cakes,snacks,0
26,1624,Chocolate Cookies,61,19,0,cookies cakes,snacks,0
27,1648,Chocolate Chip 1.4 oz Packs Cookies,61,19,0,cookies cakes,snacks,0
28,1694,Chunky Chocolate Chip Cookies,61,19,0,cookies cakes,snacks,0
29,1861,Sugar Ginger Snaps,61,19,0,cookies cakes,snacks,0
30,1864,Mini Crunchy Vanilla Cookies,61,19,0,cookies cakes,snacks,0
31,1865,"Cookies, Ginger Snap",61,19,0,cookies cakes,snacks,0
32,1894,Gluten Free Arrowroot Cookies,61,19,0,cookies cakes,snacks,0
33,1935,Whole Wheat Cookies Dark Chocolate,61,19,0,cookies cakes,snacks,0
34,2023,Organic Stawberry Shortcake Sandwich Cookies,61,19,1,cookies cakes,snacks,0
