,product_id,frequency,product_name,organic
0,24852,18726,Banana,0
1,13176,15480,Bag of Organic Bananas,1
2,21137,10894,Organic Strawberries,1
3,21903,9784,Organic Baby Spinach,1
4,47626,8135,Large Lemon,0
5,47766,7409,Organic Avocado,1
6,47209,7293,Organic Hass Avocado,1
7,16797,6494,Strawberries,0
8,26209,6033,Limes,0
9,27966,5546,Organic Raspberries,1
10,39275,4966,Organic Blueberries,1
11,27845,4908,Organic Whole Milk,1
12,30391,4613,Organic Cucumber,1
13,45007,4589,Organic Zucchini,1
14,22935,4290,Organic Yellow Onion,1
15,24964,4158,Organic Garlic,1
16,4920,4059,Seedless Red Grapes,0
17,46979,3868,Asparagus,0
18,40706,3823,Organic Grape Tomatoes,1
19,8518,3818,Organic Red Onion,1
20,4605,3762,Yellow Onions,0
21,42265,3597,Organic Baby Carrots,1
22,45066,3551,Honeycrisp Apple,0
23,31717,3526,Organic Cilantro,1
24,5876,3505,Organic Lemon,1
25,44632,3359,Sparkling Water Grapefruit,0
26,43352,3279,Raspberries,0
27,28204,3257,Organic Fuji Apple,1
28,5450,3103,Small Hass Avocado,0
29,8424,2932,Broccoli Crown,0
30,21616,2923,Organic Baby Arugula,1
31,24184,2905,Red Peppers,0
32,19057,2891,Organic Large Extra Fancy Fuji Apple,1
33,30489,2858,Original Hummus,0
34,26604,2843,Organic Blackberries,1
35,37646,2809,Organic Gala Apples,1
36,27104,2651,Fresh Cauliflower,0
37,49235,2646,Organic Half & Half,1
38,28985,2627,Michigan Organic Kale,1
39,44359,2623,Organic Small Bunch Celery,1
40,48679,2568,Organic Garnet Sweet Potato (Yam),1
41,41950,2538,Organic Tomato Cluster,1
42,21938,2521,Green Bell Pepper,0
43,17794,2497,Carrots,0
44,43961,2460,Organic Peeled Whole Baby Carrots,1
45,27086,2424,Half & Half,0
46,49683,2413,Cucumber Kirby,0
47,34126,2400,Organic Italian Parsley Bunch,1
48,10749,2393,Organic Red Bell Pepper,1
49,39877,2337,Organic Granny Smith Apple,1
50,37067,2332,Organic Banana,1
51,9076,2323,Blueberries,0
52,5077,2298,100% Whole Wheat Bread,0
53,12341,2276,Hass Avocados,0
54,8277,2252,Apple Honeycrisp Organic,1
55,34969,2234,Red Vine Tomato,0
56,19660,2225,Spring Water,0
57,35951,2176,Organic Unsweetened Almond Milk,1
58,24838,2169,Unsweetened Almondmilk,0
59,25890,2088,Boneless Skinless Chicken Breasts,0
60,31506,2068,Extra Virgin Olive Oil,0
61,46667,2007,Organic Ginger Root,1
62,22035,1993,Organic Whole String Cheese,1
63,8174,1980,Organic Navel Orange,1
64,35221,1966,Lime Sparkling Water,0
65,29487,1953,Roma Tomato,0
66,28842,1920,Bunched Cilantro,0
67,34358,1920,Garlic,0
68,20114,1899,Jalapeno Peppers,0
69,11520,1898,Large Alfresco Eggs,0
70,22825,1893,Organic D'Anjou Pears,1
71,39928,1880,Organic Kiwi,1
