,num_items
Bag of Organic Bananas,15480
Organic Strawberries,10894
Organic Baby Spinach,9784
Organic Avocado,7409
Organic Hass Avocado,7293
Organic Raspberries,5546
Organic Blueberries,4966
Organic Whole Milk,4908
Organic Cucumber,4613
Organic Zucchini,4589
Organic Yellow Onion,4290
Organic Garlic,4158
Organic Grape Tomatoes,3823
Organic Red Onion,3818
Organic Baby Carrots,3597
Organic Cilantro,3526
Organic Lemon,3505
Organic Fuji Apple,3257
Organic Baby Arugula,2923
Organic Large Extra Fancy Fuji Apple,2891
Organic Blackberries,2843
Organic Gala Apples,2809
Organic Half & Half,2646
Michigan Organic Kale,2627
Organic Small Bunch Celery,2623
Organic Garnet Sweet Potato (Yam),2568
Organic Tomato Cluster,2538
Organic Peeled Whole Baby Carrots,2460
Organic Italian Parsley Bunch,2400
Organic Red Bell Pepper,2393
Organic Granny Smith Apple,2337
Organic Banana,2332
Apple Honeycrisp Organic,2252
Organic Unsweetened Almond Milk,2176
Organic Ginger Root,2007
Organic Whole String Cheese,1993
Organic Navel Orange,1980
Organic D'Anjou Pears,1893
Organic Kiwi,1880
Organic Grade A Free Range Large Brown Eggs,1767
Organic Lacinato (Dinosaur) Kale,1761
Organic Carrot Bunch,1742
Organic Broccoli,1653
Organic Black Beans,1576
Organic Reduced Fat 2% Milk,1535
Organic Spring Mix,1362
Organic Broccoli Florets,1361
Organic Baby Broccoli,1351
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,1342
Organic Basil,1222
